variation_value,status,objective,pg_bus_7062,pg_bus_146,pg_bus_10,pg_bus_92,pg_bus_156,pg_bus_176,pg_bus_7061,pg_bus_190,pg_bus_7003,pg_bus_242,pg_bus_7017,pg_bus_221,pg_bus_125,pg_bus_171,pg_bus_20,pg_bus_138,pg_bus_8,pg_bus_153,pg_bus_63,pg_bus_233,pg_bus_241,pg_bus_143,pg_bus_149,pg_bus_7166,pg_bus_185,pg_bus_9002,pg_bus_141,pg_bus_147,pg_bus_198,pg_bus_119,pg_bus_236,pg_bus_220,pg_bus_7001,pg_bus_7024,pg_bus_7049,pg_bus_243,pg_bus_7023,pg_bus_9054,pg_bus_222,pg_bus_152,pg_bus_7130,pg_bus_186,pg_bus_124,pg_bus_187,pg_bus_7011,pg_bus_9053,pg_bus_9051,pg_bus_7002,pg_bus_91,pg_bus_191,pg_bus_227,pg_bus_170,pg_bus_177,pg_bus_9055,pg_bus_84,pg_bus_7057,pg_bus_108,pg_bus_76,pg_bus_230,pg_bus_238,pg_bus_98,pg_bus_7039,pg_bus_7044,pg_bus_7055,pg_bus_7012,pg_bus_239,pg_bus_7071,pg_bus_7139,pg_bus_213
0.05,feasible,757854.5079552518,0.999999999897083,5.900675136534551,5.4999999998628795,0.588324980827889,4.999999999851676,5.749999999867105,5.239999999857603,4.74999999984403,0.999999999897083,1.3356567123574166,5.999999999900142,0.999999999897083,0.999999999897083,5.999999999870693,5.999999999931189,5.999999999955199,2.6236113956020097,2.849999998973363,3.3999999997090375,5.95081887650806,3.049999999506433,3.499999999734564,5.999999999907859,5.999999999960576,3.4999999997345634,0.7950337570671566,0.12720540115887427,3.9999999998035145,2.464604647263744,3.279999999666886,0.999999999897083,1.5900675140471483,4.719999999842985,4.999999999851676,0.999999999897083,1.8603789907326775,3.1699999996095385,1.3356567123481835,2.999999999439526,5.999999999898958,5.926392800125637,4.719999999842985,1.6377695401431778,3.3399999996899217,2.699740064158715,1.0812459061284332,5.597833288171762,1.8444783152145994,5.95081887650806,5.66999999986583,0.7155303820790451,3.1599999996029804,4.449999999831979,0.999999999897083,3.899999999794302,1.3356567123525251,4.02999999980601,0.999999999897083,5.099999999854289,0.999999999897083,5.99999999991956,0.999999999897083,0.999999999897083,4.299999999824264,3.7199999997731896,5.999999999914527,5.999999999953911,3.8099999997845977,0.999999999897083
0.1,feasible,759259.1192099669,0.9999999999972783,5.999999743316154,5.499999999996187,0.6041023765659171,4.999999999995588,5.74999999999632,5.239999999995905,4.749999999995227,0.999999999997302,1.371475664892459,5.999999999997408,0.9999999999969776,0.9999999999973139,5.999999999996133,5.999999999998275,5.9999999999988916,2.6499996675559556,2.849999998309051,3.399999999988973,5.901637753107163,3.0499999999541285,3.4999999999910765,5.999999999997637,5.999999999999025,3.499999999991006,0.8163545621102101,0.1306167299383337,3.9999999999938174,2.530698931438088,3.279999999983053,0.999999999997302,1.6327091242180949,4.7199999999952755,4.999999999995509,0.9999999999973148,1.9102696746651715,3.1699999999791055,1.371475664892184,2.999999999947607,5.999999999997378,5.852785600386159,4.719999999995322,1.6816903986505212,3.339999999984061,2.699999975565344,1.1102422009165138,5.195666576419782,1.8939425830310173,5.901637753107163,5.669999999996219,0.7347191066339861,3.159999999977743,4.449999999994868,0.9999999999973,3.899999999991338,1.3714756648922946,4.029999999993911,0.9999999999973048,5.099999999995761,0.9999999999973054,5.999999999997958,0.9999999999972906,0.9999999999973156,4.299999999994421,3.719999999992602,5.999999999997828,5.99999999999886,3.809999999993083,0.999999999997302
0.15,feasible,760745.5355817135,0.9999999999856544,5.9999998256785325,5.499999999981216,0.627014115548997,4.999999999974224,5.749999999981309,5.239999999976407,4.749999999965084,0.9999999999867718,1.4234915047126302,5.999999999988041,0.9999999999631703,0.9999999999878261,5.999999999968384,5.9999999999923,5.99999999999561,2.6499998604231756,2.849999992178071,3.399999999911016,5.852456629656738,3.0499999997761167,3.4999999999316223,5.999999999989731,5.999999999996018,3.499999999928198,0.8473163715156455,0.13557061944546214,3.9999999999596803,2.5499994950358564,3.2799999998812854,0.9999999999867718,1.6946327430247967,4.71999999997121,4.999999999969985,0.9999999999877905,1.9827203085968927,3.1699999998692756,1.423491504711624,2.9999999997475038,5.999999999988356,5.779178400574637,4.719999999972631,1.7454717260472878,3.339999999874908,2.699999973113952,1.152350261571634,4.793499864622939,1.9657739807773575,5.852456629656776,5.669999999978232,0.7625847351269261,3.1599999998574377,4.449999999971424,0.9999999999869833,3.8999999998747903,1.4234915047120709,4.029999999960666,0.9999999999869922,5.099999999974866,0.9999999999870928,5.99999999999034,0.9999999999865744,0.9999999999877868,4.299999999938521,3.719999999944327,5.999999999991035,5.999999999995424,3.8099999999488703,0.9999999999867718
0.2,feasible,762392.4202391476,0.9999999999725538,5.999999981284786,5.43746005955671,0.6533054353241271,4.99999999996229,5.7499999999722435,5.239999999964317,4.749999999959477,0.9999999999749642,1.4831799063040454,5.999999999977291,0.9999999999366769,0.9999999999807373,5.999999999951442,5.999999999983813,5.999999999991082,2.6499999865691324,2.8499999984972235,3.3999999999201376,5.80327550620382,3.049999999877836,3.499999999938199,5.99999999998139,5.999999999991417,3.4999999999350555,0.8828451819796495,0.14125522912415917,3.999999999953398,2.5499999785151655,3.279999999912784,0.9999999999749642,1.7656903639261323,4.719999999958522,4.999999999961441,0.9999999999785713,2.065857725075117,3.1699999999130672,1.4831799062950486,2.9999999998683347,5.999999999980159,5.705571200761349,4.7199999999602715,1.8186610755281307,3.3399999999141055,2.6999999974778413,1.2006694436510352,4.391333152815706,2.0482008209428657,5.803275506203956,5.669999999964665,0.7945606645774927,3.159999999903194,4.449999999963607,0.9999999999777912,3.8999999998537422,1.4831799062958722,4.0299999999540965,0.9999999999756659,5.099999999961651,0.9999999999776364,5.99999999998043,0.9999999999767507,0.9999999999785213,4.299999999921456,3.7199999999424906,5.999999999983617,5.999999999990437,3.809999999941942,0.9999999999749642
0.25,feasible,764529.0345623378,0.9999999999996452,5.999999999995049,5.29682507447785,0.6946671387705272,4.99999999999955,5.749999999999581,5.2399999999995615,4.7499999999995355,0.9999999999996452,1.5770821519375002,5.999999999999653,0.9999999999996407,0.9999999999996476,5.999999999999586,5.999999999999734,5.99999999999981,2.649999999997269,2.849999999998441,3.399999999999341,5.754094382770562,3.0499999999991787,3.499999999999378,5.999999999999673,5.999999999999829,3.499999999999377,0.938739375778106,0.15019830012463173,3.9999999999994693,2.549999999996594,3.2799999999993044,0.9999999999996452,1.8774787515544684,4.719999999999533,4.99999999999955,0.9999999999996466,2.169999943333664,3.1699999999992574,1.5770821519374387,2.9999999999991402,5.999999999999651,5.631964000969354,4.719999999999533,1.9338031149126236,3.3399999999993235,2.6999999999979605,1.2766855469726408,3.9891664410516627,2.1599998029555665,5.754094382770562,5.669999999999576,0.8448654390451804,3.159999999999246,4.449999999999516,0.9999999999996473,3.8999999999994275,1.5770821519374643,3.78767187174982,0.9999999999996457,5.099999999999553,0.9999999999996472,5.9999999999997025,0.9999999999996471,0.9999999999996465,4.299999999999495,3.719999999999425,5.99999999999969,5.9999999999998055,3.809999999999438,0.9999999999996452
0.3,feasible,767412.7037416872,0.9999999999222668,5.999999998863574,5.156190089295208,0.7725138196533969,4.99999999990428,5.749999999912942,5.239999999907881,4.749999999900728,0.9999999999225917,1.7538151570423552,5.999999999927102,0.9999999999228372,0.9999999999226847,5.99999999990843,5.999999999943122,5.999999999959203,2.64999999938206,2.8499999996049024,3.3999999998651655,5.704913259283549,3.0499999998369454,3.4999999998738844,5.9999999999311955,5.99999999996309,3.499999999873114,1.0439375930207802,0.1670300149216844,3.9999999998905453,2.5499999993897835,3.279999999859704,0.9999999999225917,1.999999868092437,4.719999999901714,4.999999999903198,0.9999999999221091,2.1699999959379883,3.1699999998540522,1.7538151570679608,2.999999999833436,5.999999999927367,5.558356801110357,4.719999999902227,2.0299999492424314,3.3399999998592302,2.6999999995479995,1.4197551219127436,3.5869997292238534,2.159999995527307,5.704913259283563,5.669999999910637,0.9395438346749855,3.159999999851148,4.449999999900308,0.9999999999229036,3.899999999869597,1.7538151570733715,3.3452062460245737,0.9999999999219265,5.099999999905979,0.9999999999226812,5.999999999936536,0.9706955501558968,0.9999999999220339,4.299999999889689,3.719999999881405,5.99999999993503,5.9999999999581854,3.809999999883591,0.9999999999225916
0.35,feasible,775722.1053144431,0.9999999999984205,5.999999999997323,5.015555104268015,1.3699999999798735,4.99999999999833,5.749999999998371,5.239999999998343,4.74999999999831,0.9999999999984426,1.839999999996421,5.999999999998494,0.9999999999984154,0.9999999999984306,5.999999999998383,5.999999999998695,5.999999999998976,2.649999999997709,2.8499999999977796,3.3999999999981174,5.655732135878027,3.049999999998032,3.4999999999981504,5.999999999998539,5.99999999999906,3.49999999999815,1.49999999999202,0.40550837009904367,3.674176971488973,2.549999999997669,3.2799999999981138,0.9999999999984426,1.9999999999969265,4.719999999998304,4.999999999998331,0.9999999999984298,2.169999999997285,3.1699999999980757,1.8399999999965255,2.999999999998011,5.999999999998494,5.484749601356209,4.7199999999983,2.0299999999970204,3.3399999999981125,2.699999999997735,1.679999999995445,3.1848330174717328,2.1599999999972512,5.655732135878027,5.669999999998365,1.4499999999903,3.1599999999980626,4.449999999998284,0.999999999998435,3.899999999998214,1.8399999999964602,2.902740620448991,0.9999999999984287,5.0999999999983325,0.9999999999984395,5.99999999999861,0.1324781419366379,0.9999999999984293,4.299999999998261,3.7199999999981896,5.999999999998579,5.999999999998957,3.8099999999981997,0.9999999999984426
0.4,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.45,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
