case14
#gen_data
gen_id,ramp_limits,costs
1,2.99,168.0
2,1.32,267.0
3,1.0,219.0
4,0.93,234.0
5,0.95,127.0
#bus_data
bus_id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.17695076052966813,0.15361722980478437,0.16693791632875712,0.16165351331855027,0.1653520923145424,0.16293510159322652,0.19139070994634524,0.1955435438258318,0.19483541701259643,0.20121716405626788,0.18941350024185843,0.19317629568032524,0.19534216892119993,0.1925358043300207,0.20433423039478915,0.216572134113802,0.2129587222142587,0.21873139845269365,0.22476258209619757,0.2098099553751479,0.21499805132194946,0.20388945812579934,0.19274037387387066,0.18187949045265497
3,0.6987932221859292,0.7472823576964024,0.6648147326099328,0.6943356125093427,0.7198338296922346,0.705006522249435,0.7573579274902299,0.8366489320240218,0.8854673644805483,0.8268124439211818,0.8231896663931964,0.8745249980346808,0.9215127775550813,0.8442177648040534,0.8782563429876574,0.8574264046020232,0.9416142009683582,0.9766388957729333,0.893145977643007,0.8952825777934382,0.9419221977001051,0.8637308346961369,0.823304640534481,0.7271810529955146
4,0.35836905513442624,0.3784842784780617,0.33428350770554666,0.34685530847280094,0.3431886623401845,0.39070750443203295,0.42194942552908954,0.43008810082444315,0.45493687436985725,0.4504933409932637,0.4496922485033903,0.4510488714026908,0.4347628323787989,0.4286038774928616,0.4308244202597385,0.452057033972288,0.4730009279702943,0.47932439949482775,0.4594610664439391,0.45061855796716654,0.4778654253270384,0.42888195354571373,0.42245128620508343,0.36801383165792545
5,0.06112132194740805,0.060872337242857476,0.059977529234971544,0.05807078557087131,0.05545487525987689,0.06146080647144637,0.06744530122090373,0.06611031164256805,0.07227745453160969,0.06897710497530402,0.07208647620250869,0.07266442785782636,0.07056157137415718,0.07375828341847945,0.07183821052218994,0.06952971123340036,0.0754764648230665,0.07779738892138272,0.07562466583660364,0.07388800142228646,0.07596928666324343,0.07212412484260011,0.06345081765429943,0.06270404657628337
6,0.0865691905360666,0.0892758888202397,0.08748646465111615,0.08072022442413132,0.08645206024430759,0.08376486290120941,0.09674120254907267,0.09919387355106794,0.10502941791297545,0.09882035269266831,0.09906070320316633,0.09846582389858337,0.09935955063485599,0.10295413630323809,0.10546364869909018,0.11069388279431563,0.11041885154536389,0.11736080832029015,0.10723959410709738,0.1098307334070385,0.10807273090510429,0.10532336243770775,0.09497331238583585,0.08743381283680703
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.24145725255342484,0.22292362875751953,0.21736892756451717,0.2241861089350318,0.2259292620208648,0.24873235149801143,0.2360123669042464,0.2542394098918011,0.25244208357013403,0.2770149082221318,0.27238899433554814,0.2816178800672268,0.27609862267198126,0.2602254234119179,0.2906972821300975,0.2802832895972635,0.27885291272326107,0.2899795712309268,0.2862451165389793,0.27724286472436455,0.297938237758906,0.2716362562883511,0.25122804606472066,0.24697475701187904
10,0.0711409160859428,0.06446125193236729,0.0662005565793539,0.06556443543235663,0.0694777561916064,0.06920965057803316,0.07883726274844867,0.08278870870400087,0.07722238671499077,0.07790012470355374,0.08139559248238397,0.08252067789051301,0.08035805292237852,0.0826532130282025,0.08645097228719761,0.08901799999093983,0.08432519513869817,0.09285408815221395,0.08992693804104931,0.09134740534431435,0.08984008734723417,0.07850295579003187,0.08046190988746918,0.0760052538349483
11,0.028742303877212678,0.025378583554467954,0.027767852887324716,0.02554530993854207,0.026613973914809283,0.027831840546878584,0.02813264456918911,0.03231123330825363,0.030797723019704917,0.031372443881438776,0.03284446319333318,0.0337708951421227,0.03179046895024227,0.031014132774053658,0.03133867773096066,0.03410448402032155,0.03465553513759613,0.03588103305762708,0.034114785794771556,0.03393968602611456,0.03512045795909948,0.032053214191320095,0.03139091489592699,0.028282834504536957
12,0.04691415600703858,0.04620832337777799,0.044392741417140856,0.04259284773259443,0.04569194673961155,0.04794589930212055,0.053471451085846014,0.054754593607167376,0.055819427422974466,0.054363979035953386,0.059141306829981664,0.05732877844515623,0.05749360123207919,0.058446308460086895,0.054185323896345367,0.055862058460380185,0.0629135392675079,0.06188892067794813,0.05841471215595661,0.061371820412546754,0.0588067099562391,0.05343254023060694,0.05060509711289107,0.050141099886114995
13,0.11097051043631677,0.10889920708522287,0.097991803923539,0.10701762944902188,0.09781546210212798,0.1045307920853193,0.11568016953623472,0.1135019714257956,0.11656161541214466,0.1300718770233739,0.12507510403064956,0.13061619882614386,0.12829489906474206,0.12543238031017145,0.1277391824960365,0.13216597907906552,0.1355247835808908,0.1375622723401627,0.12852152592657176,0.1296574489579653,0.12750934659619637,0.11921017917421674,0.11833516447552211,0.10357037989438465
14,0.10892273178071873,0.11783259615552139,0.11705714857110361,0.10743228913906275,0.12004935347161752,0.11357358017197068,0.12025986038283525,0.1344861927164892,0.12781868971785212,0.1417536059408798,0.13514452938020366,0.13799265516845968,0.1361156749578364,0.13484813825397685,0.13745525720275625,0.14952079135377475,0.1542997800679807,0.15526407648333226,0.14224588982103503,0.14209434287199063,0.1490351027145478,0.1321456160830035,0.1274382766506572,0.12412042337669395
