variation_value,status,objective,pg_bus_22,pg_bus_2,pg_bus_1,pg_bus_27,pg_bus_13,pg_bus_23
0.05,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.1,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.15,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.2,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.25,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.3,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.35,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.4,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.45,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.5,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.55,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.6,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.65,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.7,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.75,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.8,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.85,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.9,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
0.95,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
